[09:45:49]===============================================================
[09:45:49]     START MEASURE :: 아이스 아메리카노
[09:45:49]---------------------------------------------------------------
[09:45:50]  START CUP           : 0.19 sec
[09:45:52]  READY CUP           : 2.92 sec
[09:45:55]  DISPENSE CUP        : 2.80 sec
[09:45:57]  START ICE           : 1.67 sec
[09:45:59]  READY ICE           : 2.14 sec
[09:46:04]  DISPENSE ICE        : 4.46 sec
[09:46:04]  START COFFEE         : 0.20 sec
[09:46:34]  DISPENSE COFFEE         : 30.73 sec
[09:46:35]  START OUTLET         : 0.18 sec
[09:46:40]  READY OUTLET         : 5.42 sec
[09:46:44]  DISPENSE OUTLET         : 3.59 sec
[09:46:44]     STOP MEASURE :: 아이스 아메리카노
[09:46:44]     TAKT TIME :: 54.31 sec
[09:46:44]===============================================================



[09:46:44]===============================================================
[09:46:44]     START MEASURE :: 아이스 아메리카노
[09:46:44]---------------------------------------------------------------
[09:46:44]  START CUP           : 0.20 sec
[09:46:48]  READY CUP           : 3.53 sec
[09:46:50]  DISPENSE CUP        : 2.68 sec
[09:46:53]  START ICE           : 2.20 sec
[09:46:55]  READY ICE           : 2.13 sec
[09:46:59]  DISPENSE ICE        : 4.47 sec
[09:46:59]  START COFFEE         : 0.21 sec
[09:47:31]  DISPENSE COFFEE         : 32.12 sec
[09:47:32]  START OUTLET         : 0.20 sec
[09:47:32]  START OUTLET         : 0.06 sec
[09:47:32]  START OUTLET         : 0.13 sec
[09:47:32]  START OUTLET         : 0.07 sec
[09:47:32]  START OUTLET         : 0.13 sec
[09:47:32]  START OUTLET         : 0.07 sec
[09:47:32]  START OUTLET         : 0.13 sec
[09:47:32]  START OUTLET         : 0.08 sec
[09:47:32]  START OUTLET         : 0.12 sec
[09:47:33]  START OUTLET         : 0.08 sec
[09:47:33]  START OUTLET         : 0.12 sec
[09:47:33]  START OUTLET         : 0.07 sec
[09:47:33]  START OUTLET         : 0.14 sec
[09:47:33]  START OUTLET         : 0.06 sec
[09:47:33]  START OUTLET         : 0.13 sec
[09:47:33]  START OUTLET         : 0.07 sec
[09:47:33]  START OUTLET         : 0.13 sec
[09:47:33]  START OUTLET         : 0.09 sec
[09:47:33]  START OUTLET         : 0.10 sec
[09:47:34]  START OUTLET         : 0.08 sec
[09:47:34]  START OUTLET         : 0.12 sec
[09:47:34]  START OUTLET         : 0.08 sec
[09:47:34]  START OUTLET         : 0.13 sec
[09:47:34]  START OUTLET         : 0.06 sec
[09:47:34]  START OUTLET         : 0.13 sec
[09:47:34]  START OUTLET         : 0.07 sec
[09:47:34]  START OUTLET         : 0.13 sec
[09:47:34]  START OUTLET         : 0.08 sec
[09:47:34]  START OUTLET         : 0.12 sec
[09:47:35]  START OUTLET         : 0.07 sec
[09:47:35]  START OUTLET         : 0.13 sec
[09:47:35]  START OUTLET         : 0.07 sec
[09:47:35]  START OUTLET         : 0.15 sec
[09:47:35]  START OUTLET         : 0.05 sec
[09:47:35]  START OUTLET         : 0.12 sec
[09:47:35]  START OUTLET         : 0.09 sec
[09:47:35]  START OUTLET         : 0.14 sec
[09:47:35]  START OUTLET         : 0.07 sec
[09:47:35]  START OUTLET         : 0.12 sec
[09:47:36]  START OUTLET         : 0.07 sec
[09:47:36]  START OUTLET         : 0.14 sec
[09:47:36]  START OUTLET         : 0.06 sec
[09:47:36]  START OUTLET         : 0.12 sec
[09:47:36]  START OUTLET         : 0.08 sec
[09:47:36]  START OUTLET         : 0.12 sec
[09:47:36]  START OUTLET         : 0.08 sec
[09:47:36]  START OUTLET         : 0.13 sec
[09:47:36]  START OUTLET         : 0.08 sec
[09:47:36]  START OUTLET         : 0.13 sec
[09:47:37]  START OUTLET         : 0.06 sec
[09:47:37]  START OUTLET         : 0.13 sec
[09:47:37]  START OUTLET         : 0.07 sec
[09:47:37]  START OUTLET         : 0.14 sec
[09:47:37]  START OUTLET         : 0.05 sec
[09:47:37]  START OUTLET         : 0.14 sec
[09:47:37]  START OUTLET         : 0.06 sec
[09:47:37]  START OUTLET         : 0.14 sec
[09:47:37]  START OUTLET         : 0.07 sec
[09:47:37]  START OUTLET         : 0.12 sec
[09:47:38]  START OUTLET         : 0.07 sec
[09:47:38]  START OUTLET         : 0.14 sec
[09:47:38]  START OUTLET         : 0.06 sec
[09:47:38]  START OUTLET         : 0.14 sec
[09:47:38]  START OUTLET         : 0.07 sec
[09:47:38]  START OUTLET         : 0.14 sec
[09:47:38]  START OUTLET         : 0.06 sec
[09:47:38]  START OUTLET         : 0.13 sec
[09:47:38]  START OUTLET         : 0.07 sec
[09:47:38]  START OUTLET         : 0.13 sec
[09:47:39]  START OUTLET         : 0.06 sec
[09:47:39]  START OUTLET         : 0.14 sec
